iterations,fitness,time,fevals
0,0.0197540354273,1.650544622,1000
10,0.0201715490578,3.305384172,2100
20,0.0201630392866,4.971339068,3200
30,0.0193772828781,6.656029862,4300
40,0.0195493257003,8.419028594,5400
50,0.0195781768355,10.334537371,6500
60,0.0199243373432,11.999489072,7600
70,0.0215937827656,13.654550441,8700
80,0.0194663684722,15.331435299,9800
90,0.0190311763893,16.987708832,10900
100,0.019940193613,18.609986907,12000
110,0.019290020959,20.289738542,13100
120,0.0208991129452,21.962728534,14200
130,0.0203868784404,23.587123431,15300
140,0.0200084280148,25.302453762,16400
150,0.021229466963,26.969073598,17500
160,0.0195963683815,28.696353774,18600
170,0.0209625555332,30.43310918,19700
180,0.0190150481748,32.095155762,20800
190,0.0199429814262,33.800194013,21900
200,0.0199209298724,35.457854756,23000
210,0.0202728938459,37.140957469,24100
220,0.020345835522,38.872169029,25200
230,0.0205262829095,40.496290108,26300
240,0.0198135246045,42.106547916,27400
250,0.0200887704063,43.706602368,28500
260,0.0194906348286,45.378911478,29600
270,0.0197722821281,47.073483839,30700
280,0.0183382703254,48.740033499,31800
290,0.0197015776014,50.364107701,32900
300,0.0198688973504,51.986981243,34000
310,0.0198166208551,53.585420453,35100
320,0.0202506933855,55.316969749,36200
330,0.0182539498731,57.104490966,37300
340,0.0186344054526,58.755766345,38400
350,0.0190256914942,60.417562737,39500
360,0.0194841325681,62.505747687,40600
370,0.0196517241649,64.215349171,41700
380,0.0192213592216,65.858770892,42800
390,0.0202794939642,67.580771045,43900
400,0.0203909179985,69.208817996,45000
410,0.0199553684148,70.920164346,46100
420,0.0197269625962,72.572312929,47200
430,0.020059823907,74.216835798,48300
440,0.0208915075768,75.898740691,49400
450,0.0197917721461,77.596331674,50500
460,0.021534175929,79.283239087,51600
470,0.0211155063887,80.931400243,52700
480,0.0203537969102,82.722112447,53800
490,0.0212350427488,84.356029366,54900
500,0.0199998130838,85.958827114,56000
510,0.0186301300152,87.754554243,57100
520,0.0193523619565,89.45865234,58200
530,0.0201217425376,91.11329461,59300
540,0.0190063002772,92.768529517,60400
550,0.0195979638427,94.412237291,61500
560,0.0205179307498,96.045800906,62600
570,0.0203144239353,97.715460196,63700
580,0.0201535270399,99.396565972,64800
590,0.0188959104706,101.01310012,65900
600,0.0195815828257,102.672112348,67000
610,0.0197067877898,104.258871281,68100
620,0.0197644640451,105.904969323,69200
630,0.0202402176894,107.599041342,70300
640,0.0201349639662,109.372408522,71400
650,0.0206227565172,111.013350744,72500
660,0.0199682852233,112.653815903,73600
670,0.0209406757172,114.333374806,74700
680,0.0193340484042,116.017344109,75800
690,0.0194589044372,117.691265079,76900
700,0.0198454088455,119.317710419,78000
710,0.0201893083296,120.994513856,79100
720,0.020153261719,122.631422944,80200
730,0.0202441300171,124.296941885,81300
740,0.0195885512977,125.917019995,82400
750,0.0199914282525,127.538681473,83500
760,0.0192255727581,129.198328362,84600
770,0.0189071854032,130.840505618,85700
780,0.0187655660646,132.494343918,86800
790,0.0200113675912,134.103208756,87900
800,0.0190213238384,135.752991769,89000
810,0.0205102072169,137.402097273,90100
820,0.0187787082445,139.058155039,91200
830,0.0197523416853,140.690213527,92300
840,0.0204080251566,142.320177141,93400
850,0.020525251567,143.973554626,94500
860,0.0205048679417,145.64004751,95600
870,0.0201730923636,147.281035602,96700
880,0.0194172072122,148.964295439,97800
890,0.0200890943266,150.60666373,98900
900,0.0196438373314,152.241247383,100000
910,0.0197938357686,153.874901451,101100
920,0.0205394583726,155.600238885,102200
930,0.0200874585771,157.416947611,103300
940,0.0199847805431,159.070363596,104400
950,0.0187988692136,160.750580742,105500
960,0.019856408508,162.386902953,106600
970,0.0195466271032,164.036692098,107700
980,0.0191221440876,165.703208987,108800
990,0.0201179817871,167.328641038,109900
1000,0.01997091568,169.056280284,111000
1010,0.0196111185437,170.686465891,112100
1020,0.0187970786894,172.35851155,113200
1030,0.0202312502495,174.010058703,114300
1040,0.0197786296505,175.730973571,115400
1050,0.0210295063269,177.408841627,116500
1060,0.021252317634,179.048911697,117600
1070,0.0192537551602,180.764134753,118700
1080,0.0194747613584,182.383840484,119800
1090,0.0205948944654,184.005313075,120900
1100,0.019833737553,185.670147119,122000
1110,0.0198980844411,187.334435369,123100
1120,0.0190185979982,188.939022206,124200
1130,0.0207920430474,190.57230382,125300
1140,0.0196060526409,192.244095835,126400
1150,0.01912814299,193.846614676,127500
1160,0.0210301278707,195.480679812,128600
1170,0.0190631511153,197.117387037,129700
1180,0.0198234195955,198.743058678,130800
1190,0.0201183905334,200.576863114,131900
1200,0.0202326460843,202.228831554,133000
1210,0.0194021474696,203.864186531,134100
1220,0.0201497169285,205.494335235,135200
1230,0.0196148481984,207.133888955,136300
1240,0.0188941430325,208.722824951,137400
1250,0.0199029040865,210.40335752,138500
1260,0.0182962651548,212.059749955,139600
1270,0.0203959973259,213.74290052,140700
1280,0.0204431622389,215.380355178,141800
1290,0.0200327859887,217.010372238,142900
1300,0.0208187312608,218.657133441,144000
1310,0.0191697473567,220.305879554,145100
1320,0.0210351073153,221.963887791,146200
1330,0.0203597124962,223.613511918,147300
1340,0.0191860649268,225.243808673,148400
