iterations,fitness,time,fevals
0,0.0172934917662,1.09549982881e-05,11
10,0.017067109593,2.12799986912e-05,21
20,0.0179321590386,3.67619995814e-05,31
30,0.0178531569316,4.91280006827e-05,41
40,0.0175074564971,5.92670003243e-05,51
50,0.0174159595109,6.86849998601e-05,61
60,0.0166583409595,7.72629991843e-05,71
70,0.0175309052422,8.58069979586e-05,81
80,0.0168069104114,9.45539977693e-05,91
90,0.0177171578025,0.000103257998489,101
100,0.0184253912083,0.000111911000204,111
110,0.0185589024055,0.000122819001263,121
120,0.0194522813583,0.000131438002427,131
130,0.0206243209513,0.00015338600133,141
140,0.0212645472036,0.000162938000358,151
150,0.0220058503866,0.000173058000655,161
160,0.0221273943579,0.000183758000276,171
170,0.0223844728935,0.000199417001568,181
180,0.0228553103877,0.000209906002056,191
190,0.0234895328163,0.000234359002206,201
200,0.0236829366773,0.000244877001023,211
210,0.0244812572483,0.000257938001596,221
220,0.0245777335633,0.000272084002063,231
230,0.0248314311178,0.000297888002024,241
240,0.0248557841459,0.000319816001138,251
250,0.0251441052948,0.000331309001922,261
260,0.0254754708378,0.000341929002388,271
270,0.0256229617561,0.000359182002285,281
280,0.0258231635106,0.000376081001377,291
290,0.0258782337667,0.000395760001993,301
300,0.0258971461325,0.000410620003095,311
310,0.0258971461325,0.000427643002695,321
320,0.025979193351,0.000443679002274,331
330,0.025979193351,0.000458647002233,341
340,0.0261184912301,0.000476195002193,351
350,0.0261612267842,0.000494097001138,361
360,0.0262974696388,0.000506025000504,371
370,0.0267372853093,0.000521190000654,381
380,0.0269857038601,0.00053311100055,391
390,0.0270704064545,0.000545635999515,401
400,0.0280041953323,0.000556725999559,411
410,0.0283513169749,0.000570531999983,421
420,0.0283513169749,0.000582049000514,431
430,0.0284103949049,0.00060733600003,441
440,0.0288630266888,0.000623883001026,451
450,0.0291046802809,0.000641501001155,461
460,0.0291046802809,0.000660985002469,471
470,0.0292976193639,0.000681644001816,481
480,0.0293384185388,0.000698292002198,491
490,0.0298358905092,0.000736783002139,501
500,0.0298674295184,0.000753703001465,511
510,0.0298674295184,0.000771018001615,521
520,0.0298674295184,0.000790199001131,531
530,0.0299202084409,0.000803174001703,541
540,0.030777770142,0.000816642001155,551
550,0.030777770142,0.00083236500177,561
560,0.030777770142,0.000846355000249,571
570,0.030777770142,0.000859533000039,581
580,0.030777770142,0.000873602999491,591
590,0.0311391505871,0.000898656999198,601
600,0.0311391505871,0.000916143999348,611
610,0.0311391505871,0.000929245999941,621
620,0.0311391505871,0.000941129999774,631
630,0.0315181888015,0.000962219999565,641
640,0.0315181888015,0.000974313999905,651
650,0.031616773418,0.00098770600016,661
660,0.0332390820233,0.00101071500103,671
670,0.033291431766,0.00103522600148,681
680,0.0337081553607,0.00104683000245,691
690,0.0343082199046,0.00105907400211,701
700,0.0343082199046,0.00107088600271,711
710,0.03465432647,0.00109389100362,721
720,0.03465432647,0.00110608300383,731
730,0.0347898534571,0.00112122400424,741
740,0.0347898534571,0.00113507700371,751
750,0.0348802764769,0.00117633700393,761
760,0.0351280704761,0.00118799900338,771
770,0.0351280704761,0.00120519900338,781
780,0.0351373459325,0.00121670400404,791
790,0.0351373459325,0.00122877200374,801
800,0.0351373459325,0.00124155300364,811
810,0.0354698571461,0.00126194700351,821
820,0.0356937883236,0.00127356900339,831
830,0.0356979725712,0.00128625800244,841
840,0.0356979725712,0.00129823300267,851
850,0.0356979725712,0.00131085200155,861
860,0.0356979725712,0.00132218600265,871
870,0.0356979725712,0.00136015000317,881
880,0.0358032021203,0.00137652300327,891
890,0.0358032021203,0.00139601000228,901
900,0.0358032021203,0.00141550500121,911
910,0.0358032021203,0.00143497300087,921
920,0.0358032021203,0.00145227000212,931
930,0.0360925340338,0.00147276200187,941
940,0.0360925340338,0.00149840000267,951
950,0.0361221282465,0.00151906500287,961
960,0.0363063223015,0.00153623100414,971
970,0.0371858491751,0.00155941000412,981
980,0.0371858491751,0.00157231700359,991
990,0.0371858491751,0.00159218100453,1001
1000,0.0373256466044,0.00160838500597,1011
1010,0.0374318886458,0.00162283600548,1021
1020,0.0374318886458,0.00163529900601,1031
1030,0.0374318886458,0.00164994900661,1041
1040,0.0374318886458,0.00166717300635,1051
1050,0.0374684766472,0.00168613900678,1061
1060,0.0374684766472,0.00203623000743,1071
1070,0.0374684766472,0.00205646300674,1081
1080,0.0374684766472,0.00206992600761,1091
1090,0.0377959053494,0.00208338200719,1101
1100,0.0380536188854,0.00209597700632,1111
1110,0.0381353090009,0.0021073640055,1121
1120,0.0381353090009,0.00213438500577,1131
1130,0.0382887571472,0.0021485300058,1141
1140,0.0382887571472,0.00216548500612,1151
1150,0.0382887571472,0.00217831900773,1161
1160,0.0383186324894,0.00220612000703,1171
1170,0.0383186324894,0.00221855200652,1181
