iterations,fitness,time,fevals
0,0.018996409988,1.663850539,1000
10,0.0204841687022,3.457157113,2100
20,0.0197680950011,5.137672534,3200
30,0.0188795847601,6.79011718,4300
40,0.0196657940008,8.475753053,5400
50,0.0203033178536,10.091875243,6500
60,0.0205432340642,11.730535496,7600
70,0.0206016725853,13.349643331,8700
80,0.0200434727584,15.000835227,9800
90,0.0215946307311,16.700433825,10900
100,0.020363063839,18.596701445,12000
110,0.0197656047063,20.260674202,13100
120,0.0199610896819,21.941248418,14200
130,0.0186455068622,23.591702803,15300
140,0.0208699702686,25.254679873,16400
150,0.0209913901302,26.944671803,17500
160,0.0210535424225,28.561581755,18600
170,0.0215153930798,30.297594132,19700
180,0.0207447217431,31.95070279,20800
190,0.019178130948,33.589070861,21900
200,0.0213126933985,35.231172812,23000
210,0.0202266236818,36.939186508,24100
220,0.0208802219596,38.595989027,25200
230,0.0200853638731,40.223767386,26300
240,0.0200629489517,41.868479284,27400
250,0.019766847969,43.540049649,28500
260,0.021401601519,45.208255375,29600
270,0.0195919880937,46.849139474,30700
280,0.0199592241478,48.572763388,31800
290,0.0206119600879,50.238445015,32900
300,0.020925339684,51.922399709,34000
310,0.0202032156211,53.578032875,35100
320,0.022639129834,55.297828884,36200
330,0.0198201997673,56.951265982,37300
340,0.0218404929001,58.590273041,38400
350,0.0196077081316,60.272881377,39500
360,0.0198150651177,61.929147155,40600
370,0.0210992484742,63.576015833,41700
380,0.0190278656116,65.328277745,42800
390,0.0202100053191,67.024803959,43900
400,0.0185345830423,68.68720645,45000
410,0.0200120807246,70.360871318,46100
420,0.019350491707,72.060616698,47200
430,0.0198107641219,73.719109398,48300
440,0.0200594410783,75.372160066,49400
450,0.020047027097,77.243621388,50500
460,0.0198112621122,78.962598336,51600
470,0.0213205431003,80.604496158,52700
480,0.020218329291,82.232050137,53800
490,0.020227191646,83.826488157,54900
500,0.0197483872729,85.509143163,56000
510,0.0201468303926,87.18046156,57100
520,0.0187985241579,88.79516437,58200
530,0.0208825269379,90.477663458,59300
540,0.0195630251889,92.113239509,60400
550,0.0197130962227,93.742489924,61500
560,0.0205569769719,95.393493947,62600
570,0.0197178589924,97.043852778,63700
580,0.0196632038389,98.71936571,64800
590,0.0212765030476,100.401335866,65900
600,0.0206955072454,102.082132413,67000
610,0.0197561026393,103.712415965,68100
620,0.0203955015518,105.349985628,69200
630,0.0207268185691,106.972515761,70300
640,0.0197206365913,108.63508394,71400
650,0.0202664763764,110.288184767,72500
660,0.0197910947188,111.916893218,73600
670,0.0193044995758,113.576046411,74700
680,0.0191476949794,115.239251648,75800
690,0.0195250675171,116.854451633,76900
700,0.0194550251098,118.539967424,78000
710,0.0200670552939,120.175067002,79100
720,0.0196049984524,121.769410767,80200
730,0.0198183908806,123.446744687,81300
740,0.0207370300075,125.128891733,82400
750,0.0207275568294,126.787388475,83500
760,0.0201464496898,128.429309625,84600
770,0.0196447606558,130.073222705,85700
780,0.0207774419768,131.714671829,86800
790,0.0183767751765,133.639227955,87900
800,0.0193930027242,135.343462137,89000
810,0.018964392601,136.964250711,90100
820,0.0195334081083,138.63719715,91200
830,0.0192687388654,140.270042208,92300
840,0.0184650413169,141.924964735,93400
850,0.0199154743458,143.579702931,94500
860,0.0202103377629,145.215973907,95600
870,0.0205254589132,146.833569715,96700
880,0.020664008351,148.509963188,97800
890,0.0207243030258,150.156429467,98900
900,0.0198793459697,151.775760083,100000
910,0.0195682115664,153.390399053,101100
920,0.0200318001719,155.052330101,102200
930,0.0199892296214,156.687875681,103300
940,0.0203007799383,158.326542259,104400
950,0.0195354684456,159.968012641,105500
960,0.0201674184671,161.645895602,106600
970,0.0204629335247,163.272445147,107700
980,0.0198536884441,164.902090594,108800
990,0.0216418189153,166.577527894,109900
1000,0.0202755384173,168.217895991,111000
1010,0.0189540987579,169.889099015,112100
1020,0.0197769755413,171.567692932,113200
