iterations,fitness,time,fevals
0,0.0316795359059,0.00372578300085,588
10,0.0368571076623,0.00695489300233,1073
20,0.0420899638705,0.0108824760027,1559
30,0.048248773328,0.0138790180026,2043
40,0.0478547390497,0.0170984250035,2522
50,0.0560368811902,0.0209554070043,2997
60,0.0597347504465,0.0250057230041,3481
70,0.0611226494649,0.0275117710044,3953
80,0.0614725355112,0.0300501440033,4434
90,0.0585891615732,0.0331800990025,4915
100,0.0660920664746,0.0354319060025,5418
110,0.0633907335733,0.0377256250031,5896
120,0.0708544908646,0.0400913020039,6380
130,0.0691617978023,0.0424294770037,6856
140,0.0801820229077,0.0500008690051,7327
150,0.0749922303335,0.0523136490065,7800
160,0.0692941944386,0.0553057080069,8283
170,0.0698317972864,0.0575688510071,8771
180,0.0704487875562,0.0597836230081,9256
190,0.0690695567893,0.0622340560094,9745
200,0.068454190437,0.0647293990096,10221
210,0.0727275685811,0.0669603500082,10691
220,0.0697124296122,0.0692118460083,11185
230,0.0673991097202,0.0713136430077,11662
240,0.07474638668,0.0738760430067,12135
250,0.0687598101823,0.076519685008,12618
260,0.0686019417894,0.0788135600087,13092
270,0.0667909750707,0.0812162490092,13574
280,0.0658149275504,0.084183088009,14061
290,0.0660228979421,0.0868667480099,14544
300,0.06706680467,0.0893409940109,15017
310,0.068879227113,0.0917391650109,15492
320,0.0664792613868,0.0942413290104,15969
330,0.0770102656332,0.0971656780112,16446
340,0.069876153626,0.0997660360117,16921
350,0.0647786406852,0.102110933012,17394
360,0.0740060806172,0.104744958013,17870
370,0.0665433475275,0.107683994012,18343
380,0.0666932153294,0.110189954014,18826
390,0.0648664313204,0.112443498012,19295
400,0.0661099860359,0.115173795011,19784
410,0.0759685842903,0.11797273101,20262
420,0.0763807162983,0.12007613801,20741
430,0.0772352078497,0.12225891301,21230
440,0.0770613530356,0.12476551801,21708
450,0.0738473625221,0.127214803009,22207
460,0.079762319399,0.12951072501,22676
470,0.0818669516059,0.13171172301,23167
480,0.0786012544768,0.13369758501,23654
490,0.0775730749887,0.13647058101,24139
500,0.0785843635997,0.13906590101,24632
510,0.0832505780043,0.14120714901,25112
520,0.0800640170487,0.143350228011,25592
530,0.0749350112074,0.14568627301,26053
540,0.0755240360707,0.14883658701,26544
550,0.070359934282,0.151125544011,27015
560,0.0732514710064,0.15370784201,27507
570,0.0682355832606,0.155950048009,27990
580,0.0690882429878,0.15821653001,28475
590,0.0688812494603,0.16116168701,28957
600,0.0701259320253,0.16350661501,29444
610,0.0659597981666,0.16615090901,29921
620,0.0733115846497,0.168613406011,30405
630,0.0649719219423,0.171268809012,30878
640,0.0788543986208,0.173649474011,31352
650,0.0853323164306,0.175826320012,31829
660,0.0777942767317,0.177950794012,32316
670,0.0867823181958,0.18098882201,32806
680,0.0902913814287,0.18299741701,33296
690,0.0929163121026,0.18496278101,33787
700,0.0827074026501,0.187418860009,34273
710,0.080664334449,0.18940973701,34759
720,0.0861083854124,0.192062709009,35237
730,0.0829101383775,0.19429427801,35722
740,0.073099099324,0.196507137009,36201
750,0.0730308181752,0.198633273008,36668
760,0.0903558755124,0.200902706008,37160
770,0.0891159057932,0.203510065008,37633
780,0.084119794735,0.205557121009,38111
790,0.080404293466,0.207626242011,38584
800,0.077693571869,0.210055276011,39069
810,0.0769396758981,0.21217628601,39552
820,0.0756440603613,0.214640798011,40038
830,0.0753437429639,0.217051403011,40515
840,0.0701011139339,0.218886935012,40986
850,0.0762481212385,0.220681065013,41465
860,0.0782088234695,0.222411924015,41957
870,0.0783937012086,0.224365232014,42429
880,0.0790728315482,0.226612192015,42912
890,0.0834696523033,0.228249599015,43396
900,0.0838113838852,0.229847782015,43889
910,0.085439766064,0.231603530015,44379
920,0.0849677066306,0.233137121015,44851
930,0.0858633993386,0.235205857016,45344
940,0.0869248169914,0.236834640014,45817
950,0.077766868671,0.238626580014,46294
960,0.0791791940896,0.240291892014,46790
970,0.0840220576439,0.241958637014,47274
980,0.0791131484733,0.243569413013,47762
990,0.08276465845,0.245763219013,48232
1000,0.0780773216968,0.247653484013,48712
1010,0.0805420052881,0.249319709013,49193
1020,0.0774080430984,0.251032021015,49665
1030,0.0782032548018,0.252739787014,50142
1040,0.0854357418911,0.254386757015,50626
1050,0.0874288311016,0.256428597015,51101
1060,0.0884843408477,0.258159899015,51582
1070,0.0835983817968,0.259673687015,52077
1080,0.0819395789271,0.261185248015,52558
1090,0.0800703229517,0.262733803016,53032
1100,0.0798616045159,0.264378442016,53517
1110,0.0842639176807,0.265980514016,53987
1120,0.0817019198923,0.268140353017,54473
1130,0.0803284740202,0.269808305016,54951
1140,0.0792347375137,0.271408422015,55425
1150,0.0741739672518,0.273075831015,55917
1160,0.0780276054883,0.274829789014,56402
1170,0.0822597699318,0.276537575015,56881
1180,0.0856433595198,0.278708054015,57349
1190,0.092767352095,0.280646465015,57839
1200,0.0852579247132,0.282320775015,58315
1210,0.0847794833632,0.284008997016,58804
1220,0.0910539907164,0.285736043015,59283
1230,0.0962706028646,0.287261539015,59766
1240,0.0920520334148,0.289149967015,60250
1250,0.0871149533802,0.291061056016,60732
1260,0.077969651624,0.292989881014,61213
1270,0.0797210751197,0.294782009016,61702
1280,0.0937440281559,0.296449588017,62184
1290,0.0896647753683,0.298129238017,62665
1300,0.0799141377767,0.300279095018,63141
1310,0.0839315919264,0.302059210018,63614
1320,0.0875124852858,0.30371493802,64102
