iterations,fitness,time,fevals
0,0.0215384468073,1.637895885,1000
10,0.0206942241507,3.302266456,2100
20,0.0203005241955,4.96872684,3200
30,0.0200353026579,6.661484944,4300
40,0.0196263437351,8.322648697,5400
50,0.0206774859118,10.004511244,6500
60,0.0206826208403,11.744368828,7600
70,0.0203649136065,13.41444325,8700
80,0.0207264895836,15.077341415,9800
90,0.0188696967673,16.736463443,10900
100,0.020266955452,18.394926013,12000
110,0.0200860623761,20.026053701,13100
120,0.0198631921406,21.691645081,14200
130,0.0204414147235,23.334974779,15300
140,0.0203984436257,24.978128967,16400
150,0.0186232190264,26.629262781,17500
160,0.0191360384678,28.273384946,18600
170,0.0197649050643,29.925788981,19700
180,0.0195265663071,31.574530628,20800
190,0.0194630877919,33.224877794,21900
200,0.0199667824414,34.8780982,23000
210,0.0198984848235,36.554392368,24100
220,0.0194333939261,38.218942105,25200
230,0.01916171283,39.857146072,26300
240,0.0200709540872,41.498949518,27400
250,0.0207027071068,43.397697536,28500
260,0.019229138301,45.084448397,29600
270,0.0192991590896,46.724591801,30700
280,0.0196440986448,48.382883157,31800
290,0.0206977380584,50.042427142,32900
300,0.0197427109631,51.69970748,34000
310,0.0208277469163,53.330219286,35100
320,0.0198538760739,54.986593046,36200
330,0.0204633305233,56.64413915,37300
340,0.0202101892458,58.309424107,38400
350,0.0206933128398,59.97216131,39500
360,0.021048731154,61.596465655,40600
370,0.0205716005436,63.229718129,41700
380,0.0194713588614,64.879426109,42800
390,0.019412865204,66.543254601,43900
400,0.0192268371215,68.178434415,45000
410,0.0210536631119,69.831710783,46100
420,0.0203429617624,71.541080525,47200
430,0.0196732640748,73.229321784,48300
440,0.0195037249841,74.907285011,49400
450,0.020476633664,76.572083431,50500
460,0.0200492958481,78.226471425,51600
470,0.0193003110768,79.866543956,52700
480,0.0200941650789,81.494956336,53800
490,0.0193005284118,83.152671481,54900
500,0.020252451733,84.834348463,56000
510,0.0195332995913,86.487028353,57100
520,0.0192803465426,88.158320265,58200
530,0.0198295044528,89.767660622,59300
540,0.0204953088595,91.408307279,60400
550,0.0191491205162,93.098711319,61500
560,0.0187013563987,94.798598395,62600
570,0.0193233469195,96.444164856,63700
580,0.0199692387584,98.131527976,64800
590,0.0195068157644,99.766202026,65900
600,0.0191584862264,101.374817029,67000
610,0.0192493852866,103.044858096,68100
620,0.019174125383,104.915947432,69200
630,0.0205136432313,106.540311242,70300
640,0.0197981629454,108.212457484,71400
650,0.0212311741176,109.904625497,72500
660,0.0195721215213,111.552819583,73600
670,0.0192818047876,113.176462852,74700
680,0.0208270893955,114.824907456,75800
690,0.0208212128327,116.485524012,76900
700,0.0197731978427,118.156578507,78000
710,0.0202656073037,119.799436365,79100
720,0.0193606516285,121.435136337,80200
730,0.0205035089649,123.116068265,81300
740,0.0205055489292,124.781543924,82400
750,0.0203119907837,126.431011119,83500
760,0.02170888576,128.069158112,84600
770,0.0196529033894,129.689256273,85700
780,0.0201474518969,131.380508555,86800
790,0.0187729050934,133.045433739,87900
800,0.0202846691762,134.709804641,89000
810,0.0196540400334,136.354926816,90100
820,0.0204621675769,138.012371279,91200
830,0.0192899598104,139.645882,92300
840,0.0194224388316,141.289811532,93400
850,0.0197781625596,142.897079925,94500
860,0.0198841553726,144.530709277,95600
870,0.01959457584,146.30722875,96700
880,0.0198894229806,147.941447484,97800
890,0.0216788773562,149.563538128,98900
900,0.0209272959601,151.222896147,100000
910,0.0190870657881,152.828395316,101100
920,0.0199811616506,154.502902016,102200
930,0.0184101829227,156.135212793,103300
940,0.019833162171,157.755057238,104400
950,0.0188113860129,159.39932058,105500
960,0.0193724589015,161.033098643,106600
970,0.0212430961995,162.65159878,107700
980,0.0208401891218,164.315144106,108800
990,0.0191676932208,165.950272153,109900
1000,0.0196197691078,167.606390215,111000
1010,0.0201382292114,169.254653593,112100
1020,0.0216491174795,170.891695715,113200
1030,0.0194313143268,172.579409213,114300
1040,0.0207657603661,174.188232665,115400
1050,0.0199910766102,175.761398804,116500
1060,0.0201243824964,177.348203699,117600
1070,0.0192026429804,179.0148056,118700
1080,0.0189145205727,180.649119609,119800
1090,0.0186361149235,182.266834122,120900
1100,0.0189716268763,183.943569056,122000
1110,0.0194714874308,185.621836944,123100
1120,0.0196120796404,187.277102895,124200
1130,0.020960409702,188.930694575,125300
1140,0.0201388626966,190.612141596,126400
1150,0.020216662784,192.329627742,127500
1160,0.0206572870715,193.96733197,128600
1170,0.0192370785712,195.611261975,129700
1180,0.0203472576404,197.264471562,130800
1190,0.0203774285546,198.957878494,131900
1200,0.0200409207592,200.87538446,133000
1210,0.0196533533353,202.510643085,134100
1220,0.0202442275763,204.194077176,135200
1230,0.0193292548036,205.852407109,136300
1240,0.017666355348,207.540822311,137400
1250,0.0193063704109,209.214087666,138500
1260,0.0202020365843,210.876768619,139600
1270,0.0203215760296,212.487212624,140700
1280,0.0199770892226,214.161577592,141800
1290,0.0207327304219,215.846607581,142900
1300,0.0197153947738,217.451810488,144000
1310,0.0209786398916,219.141366167,145100
1320,0.020974543616,220.791564602,146200
1330,0.0203076324781,222.440606712,147300
1340,0.0197503690367,224.114270283,148400
1350,0.0189962257104,225.777495831,149500
1360,0.0194379550694,227.476323865,150600
1370,0.0189820825259,229.111092965,151700
1380,0.0205985973786,230.802799956,152800
1390,0.0194550670109,232.461054572,153900
1400,0.0209568470456,234.124203428,155000
1410,0.0188515222588,235.857950475,156100
1420,0.0205343384227,237.507126286,157200
1430,0.0206719915722,239.180185198,158300
1440,0.019281442241,240.871276143,159400
1450,0.0207608698988,242.536543284,160500
1460,0.0208660897334,244.379781837,161600
1470,0.0203176989384,246.09141698,162700
1480,0.0193332482743,247.797434844,163800
1490,0.019235660013,249.417379365,164900
1500,0.0205276870932,251.110952974,166000
1510,0.0210706688091,252.797805844,167100
1520,0.0215454783668,254.461324641,168200
1530,0.0194066818927,256.127900461,169300
1540,0.0198949916238,257.81537618,170400
1550,0.0217485146962,259.458130358,171500
1560,0.0190437680924,261.13774665,172600
1570,0.0208127402463,262.810950965,173700
1580,0.0201161439454,264.482842319,174800
1590,0.0203269390842,266.167410597,175900
1600,0.0198971450152,267.837970334,177000
1610,0.0196709482146,269.506995057,178100
1620,0.019532171834,271.159012422,179200
1630,0.0203519889353,272.766294027,180300
1640,0.0208488561118,274.43706046,181400
1650,0.0199413252183,276.089516252,182500
1660,0.0203881138084,277.744425767,183600
1670,0.0195423154912,279.42045494,184700
1680,0.0200863796802,281.064460877,185800
1690,0.0210224126814,282.736546833,186900
1700,0.0200823642609,284.383032633,188000
1710,0.0194338607097,286.065521942,189100
1720,0.0204695020514,287.765943817,190200
1730,0.0210009691109,289.435212638,191300
1740,0.0206844563501,291.311379771,192400
1750,0.0185979122753,292.967058274,193500
1760,0.0202528592465,294.703538023,194600
1770,0.0209882925287,296.331172808,195700
1780,0.0206317631062,298.077684629,196800
1790,0.0195072933222,299.726341017,197900
1800,0.0201408308358,301.40645272,199000
1810,0.0203896105477,303.051891273,200100
1820,0.0195438341201,304.734992453,201200
1830,0.0199032678948,306.386280991,202300
1840,0.0217395764421,308.038638056,203400
1850,0.0204037040502,309.721444396,204500
1860,0.0190498795082,311.370693509,205600
