iterations,fitness,time,fevals
0,0.0166480490237,1.74889992195e-05,11
10,0.017138324428,3.27999987348e-05,21
20,0.0175543337997,5.47469990124e-05,31
30,0.018501679545,7.05569982529e-05,41
40,0.0190981995231,8.28519987408e-05,51
50,0.019559940589,0.000101559999166,61
60,0.0208818476923,0.000120571998195,71
70,0.0217674449072,0.000133412997457,81
80,0.0226433425374,0.000146882997797,91
90,0.0230056688032,0.000163891998454,101
100,0.0232447419897,0.000188148998859,111
110,0.0237295796541,0.000203622998015,121
120,0.0238534923507,0.000219017996642,131
130,0.0238534923507,0.000232589994994,141
140,0.0240575533684,0.000245070994424,151
150,0.0242639364153,0.000259161994109,161
160,0.0242639364153,0.000283197992758,171
170,0.0244354284465,0.000299156992696,181
180,0.0251945557333,0.000312133992338,191
190,0.0251945557333,0.000422303992309,201
200,0.0255964717762,0.000434249992395,211
210,0.025756807988,0.000446229993031,221
220,0.0260478076839,0.000457609992736,231
230,0.0266147531225,0.000469038994197,241
240,0.026664315416,0.000486730992634,251
250,0.026664315416,0.000498990992128,261
260,0.0271039232092,0.000513564991707,271
270,0.0271039232092,0.00052560999211,281
280,0.0271039232092,0.000541896992218,291
290,0.0271039232092,0.000554135991479,301
300,0.0285484552608,0.000571556991417,311
310,0.0285484552608,0.000589088991546,321
320,0.0287216121978,0.000609839991739,331
330,0.0288847815067,0.000626151992037,341
340,0.0290208038708,0.000654035991829,351
350,0.0290235915994,0.000667158992655,361
360,0.0292574805505,0.000680484992699,371
370,0.0303292648085,0.0007055919923,381
380,0.0304953722098,0.000725772992155,391
390,0.0307807442548,0.000736780992156,401
400,0.0307807442548,0.000751598990973,411
410,0.0307807442548,0.000764363991038,421
420,0.0307807442548,0.000784223990195,431
430,0.0307807442548,0.000796904989329,441
440,0.0307807442548,0.000814970990177,451
450,0.0307807442548,0.000839062991872,461
460,0.0310497658358,0.000857318991621,471
470,0.0310497658358,0.000874250990819,481
480,0.0313819716634,0.000893294991329,491
490,0.0313819716634,0.000912444991627,501
500,0.0316369828279,0.000931128992306,511
510,0.0316783806491,0.000952327993218,521
520,0.0316783806491,0.000968001993897,531
530,0.0316783806491,0.00098576099299,541
540,0.0317233215414,0.00100405699231,551
550,0.0317506985592,0.00101682099194,561
560,0.0317506985592,0.00103615199259,571
570,0.0317506985592,0.00105418299245,581
580,0.0326823145546,0.00108406099207,591
590,0.0326823145546,0.00110132399277,601
600,0.0326823145546,0.00111532199298,611
610,0.0326823145546,0.00113191199125,621
620,0.0326823145546,0.00115256299068,631
630,0.0326823145546,0.00116926099145,641
640,0.0326823145546,0.00118805899183,651
650,0.0326823145546,0.00120100699132,661
660,0.0328456791525,0.00121975699221,671
670,0.0328456791525,0.00123789599274,681
680,0.0329041038777,0.00125601099353,691
690,0.0329041038777,0.00127369099391,701
700,0.0332694867447,0.00130533499396,711
710,0.0332694867447,0.00132984599441,721
720,0.0334176552158,0.00135491599394,731
730,0.033599039035,0.00137783199534,741
740,0.033599039035,0.00139986899558,751
750,0.033599039035,0.00142164299541,761
760,0.033599039035,0.00144819499474,771
770,0.033599039035,0.00147242999446,781
780,0.033599039035,0.00150333199417,791
790,0.033599039035,0.00155316299424,801
800,0.033599039035,0.00157060999481,811
810,0.033599039035,0.00160714899539,821
820,0.033599039035,0.00164320799558,831
830,0.033609622382,0.00167974699434,841
840,0.0339095756733,0.00171038599365,851
850,0.0339095756733,0.00174008399335,861
860,0.0339095756733,0.00176362799357,871
870,0.0339885622262,0.00178130099448,881
880,0.0339885622262,0.0018004009944,891
