iterations,fitness,time,fevals
0,0.0193421991526,1.683253326,1000
10,0.0202502899458,3.387139543,2100
20,0.0186140413861,5.080055081,3200
30,0.0212829692803,6.775478349,4300
40,0.0193880195367,8.521707939,5400
50,0.020184086419,10.28542534,6500
60,0.0199386572549,11.997785035,7600
70,0.0199666364426,13.71945997,8700
80,0.0205895531887,15.502591147,9800
90,0.0200763236507,17.530231036,10900
100,0.0201964943045,19.280608598,12000
110,0.0196190432344,20.989728331,13100
120,0.0196563039292,22.723960604,14200
130,0.0198798749179,24.496886274,15300
140,0.018913850847,26.302880244,16400
150,0.0196309333077,28.059428315,17500
160,0.0216234495594,29.855247391,18600
170,0.0195528937686,31.655167146,19700
180,0.0186940766529,33.404469624,20800
190,0.0197094305105,35.171476154,21900
200,0.0197756284151,36.956703721,23000
210,0.0195609846553,39.143068718,24100
220,0.0189480896113,40.870212958,25200
230,0.0186468233951,42.635712886,26300
240,0.0190074221123,44.414880443,27400
250,0.0203564716563,46.235153214,28500
260,0.0195320264775,48.079103581,29600
270,0.0191012325553,49.833484908,30700
280,0.019533421151,51.649724037,31800
290,0.0203230610792,53.698330498,32900
300,0.0198362695103,55.704157996,34000
310,0.0196195048421,57.547221638,35100
320,0.0211214476637,59.285770431,36200
330,0.0199807733336,61.080967197,37300
340,0.0197158790741,62.849909533,38400
350,0.0194522840486,64.706656892,39500
360,0.0208528233525,66.625680968,40600
370,0.0205527859723,68.395564529,41700
380,0.0200700205165,70.705047626,42800
390,0.0184622595502,72.541044027,43900
400,0.0189791009856,74.290152388,45000
410,0.0208872164566,76.060558098,46100
420,0.0199687486911,77.789823247,47200
430,0.0196021695434,79.517105673,48300
440,0.0193268631837,81.271247622,49400
450,0.0197551448051,83.585490654,50500
460,0.0202578908844,85.357138568,51600
470,0.0195310180037,87.116508501,52700
480,0.0196622485928,88.912267496,53800
490,0.0207439323726,90.946414548,54900
500,0.0210168763669,93.045985206,56000
510,0.0198193226856,94.984197594,57100
520,0.0199009748354,96.738802191,58200
530,0.0205301206533,98.410512094,59300
540,0.02119343852,100.182863984,60400
550,0.021187391467,101.922724637,61500
560,0.0191552439808,103.6699627,62600
570,0.0197372336891,105.562438075,63700
580,0.0187753395343,107.716817907,64800
590,0.018965461232,109.490822014,65900
600,0.0201605244483,111.230685904,67000
610,0.0207407251044,113.165941451,68100
620,0.0197685129921,115.020444174,69200
630,0.0188655050596,116.811419481,70300
640,0.0186253227078,118.571280152,71400
650,0.0193775531483,120.359968541,72500
660,0.0205447558275,122.194928261,73600
